keywords,language,meta-description,name,companyhomepageurl,location,street,city,region,postalCode,country,size,revenue,industries,similarTo,score,summary,ceo,phoneNumbers,linkedInUri,facebookUri,crunchbaseUri,twitterUri,wikipediaUri,angellistUri,githubUri,sicClassificationCode,sicClassificationName,naicsClassificationCode,naicsClassificationName,foundingDate,totalInvestment,investmentsSeries,investmentsAmount,investmentsDate,investors,isPublic,ipoDate,stockExchange,stockSymbol,isNonProfit,numVisits,lastActivityDate
,,,Delta Thermal Inc,deltathermalinc.com,"Tucson, Arizona",,Tucson,Arizona,85710,United States of America,4,33000 USD,"Software Companies,Enterprise Software Companies",,,Organization founded in 2017,,,linkedin.com/company/delta-thermal-inc,,crunchbase.com/organization/delta-thermal,,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2017-01-01,150000 USD,Seed,150000 USD,2022-04-08,,FALSE,,,,FALSE,0,
Contact,,Shaping the future of eCommerce by intelligently growing brands through our proprietary AI technology.,Dianthus,dianthuscommerce.com,"Cambridge, Massachusetts",1 Broadway 14th Floor,Cambridge,Massachusetts,MA USA,United States of America,5,88000 USD,"Software Companies,Artificial Intelligence Companies",,,Organization founded in 2021,,+1-888-659-7489,linkedin.com/company/dianthuscommerce,facebook.com/Dianthus-105403585149813/about,crunchbase.com/organization/dianthus,,,,,"7371,7370,7300,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,11500000.0 USD,"Pre Seed,Seed",11500000.0 USD,"2021-10-01,2022-03-08","BOSSA NOVA INVESTIMENTOS,PJC,Underscore VC,LAUNCH",FALSE,,,,FALSE,0,
,,,Diffgram,diffgram.com,"Santa Clara, California",Santa Clara,Santa Clara,California,95051,United States of America,5,56000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Natural Language Processing Companies",,,Organization founded in 2018,,,linkedin.com/company/diffgram,,crunchbase.com/organization/diffgram,twitter.com/diffgram,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-11-01,1475000 USD,"Pre Seed,Pre Seed,Debt Financing,Seed","125000 USD,350000 USD,1000000 USD","2020-02-12,2021-01-02,2021-11-01,2022-03-01",Small Business Administration,FALSE,,,,FALSE,0,
Contact,en,Direct Kinetic Solutions offers radioisotopic battery solutions  — everlasting power  anywhere.,Direct Kinetic Solutions,directkinetics.com,"El Paso, Texas",,El Paso,Texas,79912,United States of America,3,85000 USD,"Manufacturing Companies,Software Companies,Computer Hardware Companies,Internet Of Things Companies",,,Manufacturing company founded in 2019,Ekhi Muniategui,,linkedin.com/company/direct-kinetic-solutions,,crunchbase.com/organization/direct-kinetic-solutions,twitter.com/directkinetic,,,,"7371,7370,7300,5734,7372,5730,5700,3900","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer And Computer Software Stores,Prepackaged Software,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores,Miscellaneous Manufacturing Industries","541511,541510,541500,541000,540000,334000,511210,511200,511000,510000,330000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Computer and Electronic Product Manufacturing;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Manufacturing",2019-01-01,,"Non Equity Assistance,Seed",,"2019-07-01,2022-03-01","US Department Of Defense,Small Business Innovation Research,Seed Round Capital,Capital Factory",FALSE,,,,FALSE,0,
"Demo, Talk to Sales",,The best way to work with people outside your company. Collaborative workspaces for prospects  customers  investors  and partners.,Dock,dock.us,"San Francisco, California",548 Market St,San Francisco,California,94115,United States of America,5,76000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies",,,Organization founded in 2021,,,linkedin.com/company/dock-us,,crunchbase.com/organization/dock-b273,twitter.com/Dock_us,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-08-01,3000000 USD,Seed,3000000 USD,2022-05-04,"Flexport,Operator Collective,Altman Capital",FALSE,,,,FALSE,0,
"Contact, Demo",en-US,,DocketScope,docketscope.com,"Arlington, Virginia",1901 Fort Myer Dr suite 1120,Arlington,Virginia,22209,United States of America,5,230000 USD,"Software Companies,Software As A Service Companies",,,Organization founded in 2022,,703-224-9000,,facebook.com/DocketScope,crunchbase.com/organization/docketscope,,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2022-01-01,500000 USD,Seed,500000 USD,2022-04-01,,FALSE,,,,FALSE,0,
,en,EdgeDB is an open-source database designed as a spiritual successor to SQL and the relational paradigm.,EdgeDB,edgedb.com,"San Francisco, California",,San Francisco,California,94115,United States of America,5,110000 USD,"Software Companies,Data Providers,Enterprise Software Companies,Database Companies",,,Developer of EdgeDB,Yury Selivanov,,linkedin.com/company/edgedb,,crunchbase.com/organization/edgedb-inc,twitter.com/edgedatabase,,,github.com/edgedb,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,518210,518200,518000,510000,511210,511210,511200,511000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Data Processing, Hosting, and Related Services;Data Processing, Hosting, and Related Services;Data Processing, Hosting, and Related Services;Information;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet)",2019-08-12,4000000 USD,"Seed,Seed",4000000 USD,"2019-09-23,2022-04-22","SV Angel,Greg Brockman,Accel",FALSE,,,,FALSE,0,
"Contact, Demo",en-US,Deep intuition for sustainable profitability. Our technology  enables  operators  to  leverage  existing  resources   such as human  capital  or  technology assets  to   drive  the  most  important  components  of   profitability. Request a Demoor More about Mai Meet Mai! Making your ordering | Encounter AI,Encounter AI,encounterai.com,"San Francisco, California",855 Brannan Street,San Francisco,California,94103,United States of America,4,44000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Natural Language Processing Companies",,,Organization founded in 2018,,,linkedin.com/company/encounter-ai,,crunchbase.com/organization/encounter-ai,,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-09-01,,"Pre Seed,Seed",,"2018-10-01,2022-01-01","Unusual Ventures,Sand Hill Angels",FALSE,,,,FALSE,0,
"Contact, Contact Sales, Demo",en,All customer feedback categorized automatically  combined with advanced analytics capabilities that ensure no customer pain goes unnoticed.,Enterpret,enterpret.com,"San Francisco, California",548 Market Street Pmb,San Francisco,California,94104,United States of America,5,100000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies,Natural Language Processing Companies",,,Organization founded in 2020,Varun Sharma,,linkedin.com/company/enterpret,,crunchbase.com/organization/enterpret,,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-01,4300000 USD,"Seed,Seed",4300000 USD,"2021-01-01,2022-03-02","iSeed,Unusual Ventures,Vinay Hiremath,Sequoia Capital India,Unusual Ventures,Kleiner Perkins",FALSE,,,,FALSE,0,
,,,Fashmates,fashmates.com,"Fremont, California",7100 Stevenson Bl suite 313,Fremont,California,94538,United States of America,5,69000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies",,,Organization founded in 2019,Harish Ramchandani,800-329-0610,linkedin.com/company/instacraze,facebook.com/fashmatesapp,crunchbase.com/organization/instacraze,twitter.com/fashmatesapp,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2019-04-01,3000000 USD,Seed,3000000 USD,2022-02-01,Brand Capital International,FALSE,,,,FALSE,0,
Contact,en-US,,FerretDB Inc,ferretdb.io,"Wilmington, Delaware",,Wilmington,Delaware,19801,United States of America,5,55000 USD,"Software Companies,Enterprise Software Companies,Database Companies,Open Source Software Organizations",,,Organization founded in 2021,,,linkedin.com/company/ferretdb,,crunchbase.com/organization/ferretdb,twitter.com/ferret_db,,,,"7371,7370,7300,7372,7371,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Computer Programming Services,Prepackaged Software","541511,541510,541500,541000,540000,511210,541511,511200,511000,510000,511210","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Custom Computer Programming Services;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers",2021-11-13,2499999 USD,Seed,2499999 USD,2022-03-29,,FALSE,,,,FALSE,0,
Contact,en-US,,Finish Robotics,finishbot.com,"Pittsburgh, Pennsylvania",,Pittsburgh,Pennsylvania,15232,United States of America,5,93000 USD,"Software Companies,Artificial Intelligence Companies,Robotics Companies",,,Organization founded in 2021,,,linkedin.com/company/finishbot,,crunchbase.com/organization/finish-robotics,twitter.com/FinishRobotics,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,175000 USD,"Seed,Seed,Seed,Seed","25000 USD,50000 USD,100000 USD","2021-08-01,2021-10-01,2022-01-14,2022-05-01","Carnegie Mellon University,Tango.vc,Innovation Works,99 Tartans",FALSE,,,,FALSE,0,
Contact,,Life unlimited by pain  stress  anxiety and difficulty sleeping. Learn to take back control of your nervous system. Without medication.,Flowly,flowly.world,"Pasadena, California",,Pasadena,California,91101,United States of America,5,56000 USD,"Software Companies,Artificial Intelligence Companies,Natural Language Processing Companies,Virtual Reality Companies",,,Organization founded in 2017,Celine Tien,323-545-3659,linkedin.com/company/tamade,facebook.com/officialflowly,crunchbase.com/organization/tamadé,twitter.com/officialflowly,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2017-01-01,125000 USD,"Pre Seed,Seed,Series Unknown,Pre Seed,Seed",125000 USD,"2020-07-31,2021-08-19,2021-08-24,2021-08-31,2022-03-24","TRUE WEALTH VENTURES,Brendan O Driscoll,Rebel Fund,500 Startups,Y Combinator,Healthworx",FALSE,,,,FALSE,0,
,,,Fractal,fractal.is,"Solana Beach, California",,Solana Beach,California,92075,United States of America,5,87000 USD,"Financial Services Companies,Digital Currencies Companies,Software Companies,Artificial Intelligence Companies,Virtual Reality Companies",,,Financial services company founded in 2021,,,linkedin.com/company/fractalwagmi,,crunchbase.com/organization/fractal-2f16,twitter.com/fractalwagmi,,,,"7371,7371,7370,7300,7372,6000,6099,6090","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Depository Institutions,Functions Related To Depository Banking, Not Elsewhere Classified,Functions Related To Depository Banking","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000,520000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Finance and Insurance, Financial Services",2021-01-01,35000000.0 USD,"Seed,Seed",35000000.0 USD,"2022-01-01,2022-04-01","Goat Capital,Mark Pincus,Play Ventures,Atlas Benjelloun,Multicoin Capital,COINBASE VENTURES,Yabusuku A.,Andreessen Horowitz,Tim Ferriss,Shrug Capital,Animoca Brands,Solana,Paradigm,Crossover VC,Position Ventures,Do Kwon",FALSE,,,,FALSE,0,
,,Frame enables the early identification of fertility risk and care navigation leading to better outcomes for patients  employers and healthcare providers.,Frame Fertility,framefertility.com,,505 Magnolia Avenue,Charlotte,North Carolina,28203,United States of America,5,120000 USD,"Financial Services Companies,Insurance Companies,Health Insurance Companies,Software Companies,Computer Hardware Companies,Internet Of Things Companies",,,Financial services company founded in 2020,Jessica Bell van der Wal,,linkedin.com/company/frame-fertility,,crunchbase.com/organization/reframe-health,,,,,"6321,6320,6300,6000,7372,5734,7371,7370,5730,7300,5700","Accident And Health Insurance,Accident And Health Insurance And Medical Service Plans,Insurance Carriers,Depository Institutions,Prepackaged Software,Computer And Computer Software Stores,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Radio, Television, Consumer Electronics, And Music Stores,Business Services,Home Furniture, Furnishings, And Equipment Stores","524114,524110,524100,524000,520000,511210,334000,541511,541510,511200,541500,541000,511000,540000,510000,330000","Direct Health and Medical Insurance Carriers;Direct Life, Health, and Medical Insurance Carriers;Insurance Carriers;Insurance Carriers and Related Activities;Finance and Insurance, Financial Services;Software Publishers;Computer and Electronic Product Manufacturing;Custom Computer Programming Services;Computer Systems Design and Related Services;Software Publishers;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Publishing Industries (except Internet);Professional, Scientific, and Technical Services;Information;Manufacturing",2020-04-17,2803500 USD,Seed,2803500 USD,2022-04-26,"Brand Foundry Ventures,FLARE CAPITAL PARTNERS,Julia Cheek,Giovanni Colella,City Light Capital,Christine Evans,Looking Glass Capital,Ad Astra Ventures,Great Oaks Venture Capital,Healthworx",FALSE,,,,FALSE,0,
Contact,en,Actionable market intelligence for traders  shippers  owners and brokers.,FreightFlows,freightflows.com,"Boston, Massachusetts",50 Milk Street 15th Floor,Boston,Massachusetts,2108,United States of America,5,100000 USD,"Financial Services Companies,Financial Data Vendors,Software Companies,Artificial Intelligence Companies,Natural Language Processing Companies,Enterprise Software Companies",,,Financial services company founded in 2020,Matt Morgan,,linkedin.com/company/freightflows,,crunchbase.com/organization/freightflows,twitter.com/freightflows,,,,"7371,7371,7370,7300,7372,6000,6282,6280,6200,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Depository Institutions,Investment Advice,Services Allied With The Exchange Of Securities Or Commodities,Security And Commodity Brokers, Dealers, Exchanges, And Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,520000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Finance and Insurance, Financial Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-01,1995000 USD,"Pre Seed,Pre Seed,Pre Seed,Pre Seed,Seed,Grant,Seed","25000 USD,50000 USD,120000 USD,1800000 USD","2020-09-24,2020-10-15,2020-10-21,2020-11-18,2021-08-11,2021-08-24,2022-03-22","Newark Venture Partners,MassChallenge,Alumni Ventures Group,Allied Venture Partners,Massachusetts Clean Energy Center,Launchpad Venture Group,Motion Ventures,SaaS Ventures LLC,TecPier",FALSE,,,,FALSE,0,
,en-US,Gaize provides video evidence from automatically performed SFST eye tests.,Gaize,gaize.ai,"Missoula, Montana",3504 S 3rd St W,Missoula,Montana,59804,United States of America,6,100000 USD,"Software Companies,Artificial Intelligence Companies,Virtual Reality Companies",,,Organization founded in 2021,,406-518-1894,linkedin.com/company/gaizesafety,facebook.com/gaizesafety,crunchbase.com/organization/gaize,twitter.com/GaizeSafety,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-08,1200000 USD,Seed,1200000 USD,2022-03-03,Fritz Lanman,FALSE,,,,FALSE,0,
"Contact, Demo",en,Automated Testing for Unity-built Immersive Experiences: Virtual Reality (VR) and Augmented Reality (AR) on PC  Mobile  and Consoles.,GameDriver,gamedriver.io,"Martinez, California",109 Windhover Way,Martinez,California,94553,United States of America,5,58000 USD,"Software Companies,Artificial Intelligence Companies,Virtual Reality Companies",,,Organization founded in 2018,Robert Gutierrez,408-332-9436,linkedin.com/company/gamedriver,facebook.com/gamedriver.io,crunchbase.com/organization/gamedriver-inc,twitter.com/GameDriverio,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-05-29,2000000 USD,"Seed,Seed",2000000 USD,"2020-01-01,2022-03-17","Panoramic Ventures,Panoramic Ventures",FALSE,,,,FALSE,0,
,,Increase productivity and focus with this free automated email solution that challenges unknown senders to make a charitable donation in order to reach you.,Gated,gated.com,"San Mateo, California",San Mateo,San Mateo,California,94401,United States of America,5,120000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies",,,Organization founded in 2020,Andy Mowat,,linkedin.com/company/gated,facebook.com/GetGated,crunchbase.com/organization/gated,twitter.com/gated_email,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511200,511000,510000,511210","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers",2020-01-01,3300000 USD,Seed,3300000 USD,2022-03-22,"Corazon Capital,TUESDAY CAPITAL,Burst Capital,Precursor Ventures",FALSE,,,,FALSE,0,
,,,Bloom AI,getbloom.ai,"New York City, New York",,New York City,New York,11217,United States of America,5,26000 USD,"Consumer Service Companies,Design Companies,Software Companies,Software As A Service Companies,Photographic Studios",,,Design company founded in 2021,,,linkedin.com/company/gobloom-ai,,crunchbase.com/organization/bloom-ai-4859,mobile.twitter.com/getbloomai,,,,"7372,7370,7300,7389,7336,7372,7221,7380,7330,7220,7200","Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services,Business Services, Not Elsewhere Classified,Commercial Art And Graphic Design,Prepackaged Software,Photographic Studios, Portrait,Miscellaneous Business Services,Mailing, Reproduction, Commercial Art And Photography, And Stenography,Photographic Studios, Portrait,Personal Services","511210,511200,511000,510000,561000,541400,511210,541921,541920,541900,541000,540000,560000","Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Administrative and Support Services;Specialized Design Services;Software Publishers;Photography Studios, Portrait;Photographic Services;Other Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Administrative and Support and Waste Management and Remediation Services",2021-01-01,1100000 USD,Seed,1100000 USD,2022-03-07,"Inovia Capital,Forum Ventures,OneValley,AIX Ventures,The Y Startup Index",FALSE,,,,FALSE,0,
"Contact, Demo",en,,The Bright App,getbright.app,"San Francisco, California",,San Francisco,California,94115,United States of America,4,74000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies",,,Organization founded in 2019,,,linkedin.com/company/bright-app,web.facebook.com/thebrightapp,crunchbase.com/organization/the-bright-app,twitter.com/thebrightapp,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511200,511000,510000,511210","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers",2019-01-01,100000 USD,"Seed,Seed",100000 USD,"2021-10-05,2022-01-10","Alchemist Accelerator,Entrepreneurs Roundtable Accelerator",FALSE,,,,FALSE,0,
,,,Pantomath,getpantomath.com,"Cincinnati, Ohio",,Cincinnati,Ohio,45225,United States of America,5,320000 USD,"Software Companies,Enterprise Software Companies,Database Companies",,,Organization founded in 2022,,513-716-5036,linkedin.com/company/pantomathglobal,,crunchbase.com/organization/pantomath,,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511200,511000,510000,511210","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers",2022-03-01,4000000 USD,Seed,4000000 USD,2022-03-04,"Bowery Capital,EPIC Ventures",FALSE,,,,FALSE,0,
Demo,en-US,Sprout is a stakeholder management software solution that helps companies digitally manage Employee Stock Option Plans.,Sprout,getsprout.co,"Hong Kong, Rhode Island",,Hong Kong,Rhode Island,2852,United States of America,5,63000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies,Software As A Service Companies",,,Organization founded in 2019,,,,,crunchbase.com/organization/sprout-fd78,,,,,"7371,7370,7300,7372,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2019-01-01,3000000 USD,Seed,3000000 USD,2022-03-30,"Sequoia Capital India,Ruby Lu,Sovereign's Capital,NDN2 vision fund,Firsthand Capital Management Inc",FALSE,,,,FALSE,0,
"Contact, Demo",en-US,,Gamify,gogamify.com,"Provo, Utah",,Provo,Utah,84601,United States of America,5,72000 USD,"Software Companies,Enterprise Software Companies,CRM Software Companies",,,Organization founded in 2021,,801-528-1846,linkedin.com/company/gogamify,facebook.com/GoGamify,crunchbase.com/organization/gamify-8ea0,,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,,Seed,,2022-01-12,RevRoad,FALSE,,,,FALSE,0,
,,,GridMatrix,gridmatrix.com,"San Francisco, California",,San Francisco,California,94115,United States of America,5,100000 USD,"Software Companies,Artificial Intelligence Companies,Computer Hardware Companies,Internet Of Things Companies",,,Organization founded in 2021,,6502729249,linkedin.com/company/gridmatrix,,crunchbase.com/organization/gridmatrix,,,,,"7371,7370,7300,5734,7371,5730,5700,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer And Computer Software Stores,Computer Programming Services,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores,Prepackaged Software","541511,541510,541500,541000,540000,334000,541511,330000,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Computer and Electronic Product Manufacturing;Custom Computer Programming Services;Manufacturing;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-15,3500000 USD,Seed,3500000 USD,2022-04-25,"Cota Capital,Alumni Ventures Group,8VC,Intensity Ventures",FALSE,,,,FALSE,0,
,,,Guidesly,guidesly.com,"Boston, Massachusetts",,Boston,Massachusetts,2127,United States of America,8,530000 USD,"Software Companies,Software As A Service Companies",,,Company,David Lord,617-758-8763,linkedin.com/company/guidesly,facebook.com/guidesly,crunchbase.com/organization/guidesly-c61a,twitter.com/guidesly,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2011-06-06,4600000 USD,"Pre Seed,Seed","600000 USD,4000000 USD","2020-10-12,2022-01-25","Drive by DraftKings,Launchpad Venture Group,Seedfunders,Elysian Park Ventures,Greycroft,Stevens Family Trust",FALSE,,,,FALSE,0,
